"ID","Fecha registro","Estado","Municipio","Fecha hechos","Lugar hechos","Modalidad violencia","Conoce agresor","Hubo drogas","Hubo armas","Violencia Física","Violencia Psicológica","Violencia Sexual","Violencia Patrimonial","Violencia Económica","Violencia Otra"
"1417669","2023-01-18","Jalisco","Guadalajara","2023-01-05","Espacio particular","1 - Familiar","SI","NO","Desconocido","0","1","0","0","0","0"
"1417697","2023-01-06","Jalisco","Puerto Vallarta","2022-12-31","Espacio particular","1 - Familiar","SI","SI","NO","0","1","0","0","0","0"
"1417701","2023-03-29","Jalisco","Zapopan","2023-03-02","Espacio particular","1 - Familiar","SI","NO","NO","1","1","1","0","1","0"
"1417859","2023-02-09","Jalisco","Zapopan","2023-01-31","Espacio particular","1 - Familiar","SI","SI","SI","1","1","0","1","1","0"
"1417876","2023-03-16","Jalisco","Guadalajara","2023-03-15","Espacio público","4 - En la comunidad","SI","Desconocido","Desconocido","0","0","1","0","0","0"
"1418064","2023-03-17","Jalisco","Guadalajara","2023-03-12","Espacio particular","1 - Familiar","SI","NO","Desconocido","0","1","0","0","0","0"
"1418147","2023-01-05","Jalisco","Colotlán","2022-11-18","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1418391","2023-02-24","Jalisco","Tlajomulco de Zúñiga","2023-02-15","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1418393","2023-02-01","Jalisco","Guadalajara","2023-01-29","Espacio particular","1 - Familiar","SI","NO","NO","0","1","0","0","0","0"
"1418514","2023-01-11","Jalisco","Tonalá","2022-12-29","Espacio particular","1 - Familiar","SI","Desconocido","NO","0","1","0","0","0","0"
"1418584","2023-03-03","Jalisco","Puerto Vallarta","2022-08-31","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1418592","2023-03-13","Jalisco","Guadalajara","2020-11-12","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","1","1","0","0","0","0"
"1418593","2023-01-23","Jalisco","Zapopan","2023-01-19","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","0","1","0","0","0"
"1418618","2023-02-08","Jalisco","Guadalajara","2023-01-26","Espacio particular","2 - Laboral","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1418637","2023-03-17","Jalisco","Guadalajara","2023-02-26","Espacio particular","1 - Familiar","SI","NO","NO","0","1","0","0","0","0"
"1418671","2023-03-09","Jalisco","San Pedro Tlaquepaque","2023-03-07","Espacio particular","1 - Familiar","SI","SI","SI","0","1","0","0","0","0"
"1418695","2023-01-23","Jalisco","Tlajomulco de Zúñiga","2022-12-15","Espacio particular","1 - Familiar","SI","NO","NO","0","1","0","0","0","0"
