ID,Fecha registro,Estado,Municipio,Fecha hechos,Lugar hechos,Modalidad violencia,Conoce agresor,Hubo drogas,Hubo armas,Violencia Física,Violencia Psicológica,Violencia Sexual,Violencia Patrimonial,Violencia Económica,Violencia Otra
1428891,09/02/2023,Colima,Manzanillo,02/08/2022,Espacio particular,1 - Familiar,SI,NO,NO,0,1,1,1,1,0
1429047,04/01/2023,Colima,Manzanillo,07/08/2022,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1429102,30/01/2023,Colima,Manzanillo,14/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,1,1,0,0
1429476,17/02/2023,Colima,Ciudad de Armerí­a,13/02/2023,Espacio particular,1 - Familiar,SI,SI,Desconocido,0,1,0,0,0,0
1430366,26/02/2023,Colima,Colima,24/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1430533,18/01/2023,Colima,Colima,06/12/2022,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1431203,25/01/2023,Colima,Colima,21/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,0,0,0,0
1431378,03/03/2023,Colima,Ciudad de Armerí­a,24/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1431971,16/03/2023,Colima,Manzanillo,14/03/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1432021,13/03/2023,Colima,Colima,12/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1432707,14/02/2023,Colima,Cuauhtémoc,24/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,SI,1,1,1,1,1,0
1433908,31/01/2023,Colima,Manzanillo,18/01/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1434267,10/03/2023,Colima,Ciudad de Armerí­a,22/10/2021,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1434629,28/02/2023,Colima,Coquimatlán,15/12/2022,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1435623,16/03/2023,Colima,Ciudad de Villa de ílvarez,07/02/2023,Espacio particular,1 - Familiar,SI,SI,NO,1,1,0,1,1,0
1436004,05/01/2023,Colima,Ciudad de Villa de ílvarez,22/07/2022,Espacio particular,1 - Familiar,NO,NO,NO,1,1,0,0,1,0
1436202,12/01/2023,Colima,Tecomán,10/07/2022,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1437009,06/03/2023,Colima,Colima,01/06/2022,Espacio particular,4 - En la comunidad,NO,Desconocido,Desconocido,0,0,1,0,0,0
1437141,07/03/2023,Colima,Colima,21/02/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1437296,18/01/2023,Colima,Ciudad de Villa de ílvarez,17/01/2023,Espacio particular,1 - Familiar,SI,NO,NO,0,1,0,0,1,0
1437998,29/03/2023,Colima,Colima,27/03/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1438059,31/01/2023,Colima,Colima,31/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1438462,22/02/2023,Colima,Manzanillo,05/09/2022,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,1,1,1,0
1438703,24/01/2023,Colima,Cuauhtémoc,05/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,NO,1,0,0,0,0,0
1438919,28/02/2023,Colima,Manzanillo,19/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,1,1,1,0
1439058,14/02/2023,Colima,Colima,14/02/2023,Espacio público,1 - Familiar,SI,Desconocido,NO,0,1,0,0,0,0
1439519,02/03/2023,Colima,Ciudad de Villa de ílvarez,14/02/2023,Espacio particular,1 - Familiar,NO,NO,NO,1,0,0,0,0,0
1441259,25/01/2023,Colima,Colima,20/01/2023,Espacio particular,4 - En la comunidad,NO,Desconocido,Desconocido,0,0,1,0,0,0
1442979,09/03/2023,Colima,Tecomán,09/03/2023,Espacio particular,1 - Familiar,SI,SI,SI,1,1,1,1,1,0
1443244,17/02/2023,Colima,Tecomán,26/01/2023,Espacio particular,1 - Familiar,NO,NO,NO,0,1,0,0,0,0
1443313,25/01/2023,Colima,Colima,22/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1443816,31/03/2023,Colima,Manzanillo,13/01/2023,Espacio particular,4 - En la comunidad,SI,Desconocido,Desconocido,0,1,1,0,0,0
1444090,10/01/2023,Colima,Manzanillo,16/11/2022,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1444378,24/01/2023,Colima,Ciudad de Villa de ílvarez,27/12/2022,Espacio particular,1 - Familiar,SI,SI,SI,1,1,0,0,1,0
1444386,02/03/2023,Colima,Colima,17/01/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1444827,26/03/2023,Colima,Manzanillo,26/03/2023,Espacio particular,1 - Familiar,SI,SI,Desconocido,1,1,0,0,1,0
1445532,14/03/2023,Colima,Ciudad de Villa de ílvarez,04/03/2023,Espacio particular,1 - Familiar,SI,SI,SI,1,1,0,0,0,0
1446192,17/03/2023,Colima,Colima,27/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,1,0,1
1446197,25/01/2023,Colima,Colima,20/01/2023,Espacio particular,1 - Familiar,SI,SI,Desconocido,0,1,0,0,0,0
1446412,28/03/2023,Colima,Manzanillo,26/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,1,0
1446713,10/03/2023,Colima,Tecomán,09/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1447666,31/01/2023,Colima,Manzanillo,13/01/2023,Espacio particular,1 - Familiar,NO,NO,NO,0,1,0,0,0,0
1448708,31/03/2023,Colima,Tecomán,29/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1449621,01/03/2023,Colima,Ciudad de Villa de ílvarez,07/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1450305,30/03/2023,Colima,Colima,07/07/2022,Espacio particular,4 - En la comunidad,SI,Desconocido,Desconocido,1,1,0,0,0,0
1451117,30/03/2023,Colima,Cuauhtémoc,04/12/2022,Espacio particular,1 - Familiar,SI,SI,Desconocido,1,1,0,0,1,0
1451722,16/03/2023,Colima,Manzanillo,17/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,0,1,0,0
1452115,14/03/2023,Colima,Colima,06/03/2023,Espacio particular,1 - Familiar,SI,NO,NO,0,1,0,0,1,0
1452660,12/03/2023,Colima,Ciudad de Villa de ílvarez,11/03/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1453046,10/03/2023,Colima,Manzanillo,05/10/2022,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1453096,16/03/2023,Colima,Comala,05/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,SI,0,1,1,1,0,0
1453587,08/02/2023,Colima,Tecomán,08/02/2023,Espacio particular,1 - Familiar,SI,SI,NO,1,1,1,1,1,0
1453824,28/03/2023,Colima,Colima,26/03/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,0,0,1,0,0
1453920,25/01/2023,Colima,Coquimatlán,25/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,SI,0,1,0,0,0,0
1454048,20/03/2023,Colima,Colima,20/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,SI,1,1,0,0,0,0
1454319,15/03/2023,Colima,Colima,14/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
